Date,RELIANCE.NS,TCS.NS,DABUR.NS,SUNPHARMA.NS,SBIN.NS,ITC.NS,NTPC.NS
2007-04-30,357.9118957519531,190.0011444091797,40.805721282958984,79.45639038085938,33.77204132080078,33.39421844482422,84.64643859863281
2007-05-31,692.1163330078125,180.72389221191406,42.010684967041016,72.79777526855469,38.06679153442383,31.539003372192383,97.92310333251953
2007-06-30,385.3230285644531,184.2646942138672,42.745933532714844,66.13558197021484,45.59075927734375,34.862098693847656,88.54542541503906
2007-07-31,399.0387878417969,171.340576171875,41.25502395629883,65.97586822509766,44.930763244628906,37.03861618041992,92.5770492553711
2007-08-31,467.64849853515625,170.66510009765625,43.236080169677734,68.48881530761719,54.63100814819336,41.15888214111328,104.18388366699219
2007-09-30,566.4972534179688,167.09901428222656,43.562862396240234,74.88834381103516,58.06607437133789,38.79513168334961,128.32943725585938
2007-10-31,580.3040771484375,164.72836303710938,45.89612579345703,78.27091217041016,64.64129638671875,40.844398498535156,127.12079620361328
2007-11-30,586.623046875,175.33926391601562,47.283164978027344,85.45130157470703,66.57160186767578,45.42005920410156,134.7754669189453
2007-12-31,504.4505920410156,142.19696044921875,38.21572494506836,80.41473388671875,64.49223327636719,42.40574645996094,105.31196594238281
2008-01-31,501.30621337890625,144.96446228027344,41.32100296020508,87.10176849365234,62.834808349609375,43.96709060668945,108.50788879394531
2008-02-29,461.0853271484375,133.9032745361328,45.875423431396484,87.26859283447266,47.617454528808594,44.726104736328125,107.29763793945312
2008-03-31,532.0450439453125,152.1680450439453,44.239967346191406,102.77582550048828,52.80694580078125,47.686161041259766,107.37950897216797
2008-04-30,489.1068420410156,171.68917846679688,40.18240737915039,99.57428741455078,42.9977912902832,47.21989822387695,94.0630111694336
2008-05-31,434.7656555175781,141.7921905517578,32.729713439941406,99.4500503540039,38.53847122192383,40.72514724731445,82.90185546875
2008-06-30,458.0798645019531,140.80966186523438,38.00223922729492,100.16348266601562,49.13515853881836,40.50831985473633,92.97122955322266
2008-07-31,443.2843322753906,139.16029357910156,38.44362258911133,104.51500701904297,48.670589447021484,43.785701751708984,95.45470428466797
2008-08-31,404.51055908203125,114.04225158691406,38.29649353027344,113.50579833984375,50.73341369628906,43.634849548339844,94.34613800048828
2008-09-30,285.4201965332031,92.09390258789062,34.30289840698242,85.56836700439453,38.47259521484375,36.000831604003906,77.44155883789062
2008-10-31,235.41012573242188,98.2188491821289,34.45003890991211,82.80599975585938,37.73933410644531,40.281944274902344,87.5130615234375
2008-11-30,255.80929565429688,83.90914154052734,35.31181716918945,81.42867279052734,44.681884765625,39.84101867675781,99.12109375
2008-12-31,274.6611328125,89.826171875,36.9723014831543,82.216796875,39.904441833496094,41.79014205932617,104.0883560180664
2009-01-31,262.7193298339844,86.91181182861328,38.31752395629883,77.85899353027344,35.5464973449707,42.474700927734375,103.35198211669922
2009-02-28,316.40234375,96.88713073730469,42.42512130737305,85.04804229736328,36.99567794799805,42.892372131347656,100.47465515136719
2009-03-31,375.63592529296875,111.91852569580078,44.050296783447266,97.0272445678711,44.76334762573242,43.785701751708984,127.40756225585938
2009-04-30,471.4435729980469,126.76062774658203,47.2364501953125,92.87602233886719,64.7918472290039,42.61392593383789,120.33492279052734
2009-05-31,419.87713623046875,140.2714385986328,53.75845718383789,83.44878387451172,60.50844192504883,44.26136016845703,108.96650695800781
2009-06-30,405.7664489746094,191.70553588867188,59.85439682006836,89.8917465209961,75.16932678222656,57.82406997680664,120.44692993164062
2009-07-31,416.0796813964844,193.7055206298828,54.28857421875,91.10076904296875,72.31673431396484,56.57096862792969,118.63080596923828
2009-08-31,456.86553955078125,228.23475646972656,61.919864654541016,121.79776763916016,91.07327270507812,57.085365295410156,119.41320037841797
2009-09-30,400.7347106933594,230.91769409179688,66.13771057128906,119.28852844238281,90.91146850585938,62.41301345825195,119.21172332763672
2009-10-31,452.20404052734375,254.59043884277344,69.26919555664062,125.61784362792969,92.92383575439453,62.97640609741211,117.75218200683594
2009-11-30,463.705810546875,277.46441650390625,69.73029327392578,130.54981994628906,94.14578247070312,61.4332389831543,132.26101684570312
